ENTRY	DEFINITION	EC
K00227	Delta7-sterol 5-desaturase	1.14.19.20
K00228	coproporphyrinogen III oxidase	1.3.3.3
K00230	menaquinone-dependent protoporphyrinogen oxidase	1.3.5.3
K00231	protoporphyrinogen/coproporphyrinogen III oxidase	1.3.3.4 1.3.3.15
K00232	acyl-CoA oxidase	1.3.3.6
K00234	succinate dehydrogenase (ubiquinone) flavoprotein subunit	1.3.5.1
K00235	succinate dehydrogenase (ubiquinone) iron-sulfur subunit	1.3.5.1
K00236	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4
K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4
K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243	uncharacterized protein
K00244	fumarate reductase flavoprotein subunit	1.3.5.4
K00245	fumarate reductase iron-sulfur subunit	1.3.5.4
K00246	fumarate reductase subunit C
K00247	fumarate reductase subunit D
K00248	butyryl-CoA dehydrogenase	1.3.8.1
K00249	acyl-CoA dehydrogenase	1.3.8.7
K00251	3-oxo-5-beta-steroid 4-dehydrogenase	1.3.1.3
K00252	glutaryl-CoA dehydrogenase	1.3.8.6
K00253	isovaleryl-CoA dehydrogenase	1.3.8.4
K00254	dihydroorotate dehydrogenase	1.3.5.2
K00255	long-chain-acyl-CoA dehydrogenase	1.3.8.8
K00257	acyl-ACP dehydrogenase	1.3.99.-
K00258	swainsonine biosynthesis oxidoreductase SwnR	1.3.1.-
K00259	alanine dehydrogenase	1.4.1.1
K00260	glutamate dehydrogenase	1.4.1.2
K00261	glutamate dehydrogenase (NAD(P)+)	1.4.1.3
K00262	glutamate dehydrogenase (NADP+)	1.4.1.4
K00263	leucine dehydrogenase	1.4.1.9
K00264	glutamate synthase (NADH)	1.4.1.14
K00265	glutamate synthase (NADPH) large chain	1.4.1.13
K00266	glutamate synthase (NADPH) small chain	1.4.1.13
K00270	phenylalanine dehydrogenase	1.4.1.20
K00271	valine dehydrogenase (NAD+)	1.4.1.23
K00272	D-aspartate oxidase	1.4.3.1
K00273	D-amino-acid oxidase	1.4.3.3
K00274	monoamine oxidase	1.4.3.4
K00275	pyridoxamine 5'-phosphate oxidase	1.4.3.5
K00276	primary-amine oxidase	1.4.3.21
K00277	protein-lysine 6-oxidase	1.4.3.13
K00278	L-aspartate oxidase	1.4.3.16
K00279	cytokinin dehydrogenase	1.5.99.12
K00280	lysyl oxidase-like protein 2/3/4	1.4.3.-
K00281	glycine dehydrogenase	1.4.4.2
K00282	glycine dehydrogenase subunit 1	1.4.4.2
K00283	glycine dehydrogenase subunit 2	1.4.4.2
K00284	glutamate synthase (ferredoxin)	1.4.7.1
K00285	D-amino-acid dehydrogenase	1.4.5.1
K00286	pyrroline-5-carboxylate reductase	1.5.1.2
K00287	dihydrofolate reductase	1.5.1.3
K00288	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	1.5.1.5 3.5.4.9 6.3.4.3
K00289	formyltetrahydrofolate dehydrogenase	1.5.1.6
K00290	saccharopine dehydrogenase (NAD+, L-lysine forming)	1.5.1.7
K00293	saccharopine dehydrogenase (NADP+, L-glutamate forming)	1.5.1.10
K00294	1-pyrroline-5-carboxylate dehydrogenase	1.2.1.88
K00295	methylenetetrahydrofolate dehydrogenase (NAD+)	1.5.1.15
K00296	D-nopaline dehydrogenase	1.5.1.19
K00297	methylenetetrahydrofolate reductase (NADPH)	1.5.1.20
K00298	N5-(carboxyethyl)ornithine synthase	1.5.1.24
K00299	FMN reductase	1.5.1.38
K00300	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)	1.5.1.5 1.5.1.-
K00301	sarcosine oxidase	1.5.3.1
K00302	sarcosine oxidase, subunit alpha	1.5.3.1
K00303	sarcosine oxidase, subunit beta	1.5.3.1
K00304	sarcosine oxidase, subunit delta	1.5.3.1
K00305	sarcosine oxidase, subunit gamma	1.5.3.1
K00306	sarcosine oxidase / L-pipecolate oxidase	1.5.3.1 1.5.3.7
K00307	reticuline oxidase	1.21.3.3
K00308	N1-acetylpolyamine oxidase	1.5.3.13
K00309	dimethylglycine oxidase	1.5.3.10
K00310	pyrimidodiazepine synthase	1.5.4.1
K00311	electron-transferring-flavoprotein dehydrogenase	1.5.5.1
K00312	wingless-type MMTV integration site family, member 3
K00313	electron transfer flavoprotein-quinone oxidoreductase	1.5.5.-
K00314	sarcosine dehydrogenase	1.5.8.3
K00315	dimethylglycine dehydrogenase	1.5.8.4
K00316	spermidine dehydrogenase	1.5.99.6
K00317	dimethylamine/trimethylamine dehydrogenase	1.5.8.1 1.5.8.2
K00318	proline dehydrogenase	1.5.5.2
K00319	methylenetetrahydromethanopterin dehydrogenase	1.5.98.1
K00320	5,10-methylenetetrahydromethanopterin reductase	1.5.98.2
K00322	NAD(P) transhydrogenase	1.6.1.1
K00323	H+-translocating NAD(P) transhydrogenase	1.6.1.2 7.1.1.1
K00324	H+-translocating NAD(P) transhydrogenase subunit alpha	1.6.1.2 7.1.1.1
K00325	H+-translocating NAD(P) transhydrogenase subunit beta	1.6.1.2 7.1.1.1
K00326	cytochrome-b5 reductase	1.6.2.2
K00327	NADPH-ferrihemoprotein reductase	1.6.2.4
K00330	NADH-quinone oxidoreductase subunit A	7.1.1.2
K00331	NADH-quinone oxidoreductase subunit B	7.1.1.2
K00332	NADH-quinone oxidoreductase subunit C	7.1.1.2
K00333	NADH-quinone oxidoreductase subunit D	7.1.1.2
K00334	NADH-quinone oxidoreductase subunit E	7.1.1.2
K00335	NADH-quinone oxidoreductase subunit F	7.1.1.2
K00336	NADH-quinone oxidoreductase subunit G	7.1.1.2
K00337	NADH-quinone oxidoreductase subunit H	7.1.1.2
K00338	NADH-quinone oxidoreductase subunit I	7.1.1.2
K00339	NADH-quinone oxidoreductase subunit J	7.1.1.2
K00340	NADH-quinone oxidoreductase subunit K	7.1.1.2
K00341	NADH-quinone oxidoreductase subunit L	7.1.1.2
K00342	NADH-quinone oxidoreductase subunit M	7.1.1.2
K00343	NADH-quinone oxidoreductase subunit N	7.1.1.2
K00344	NADPH:quinone reductase	1.6.5.5
K00345	NAD(P)H-quinone oxidoreductase subunit S, chloroplastic	7.1.1.-
K00346	Na+-transporting NADH:ubiquinone oxidoreductase subunit A	7.2.1.1
K00347	Na+-transporting NADH:ubiquinone oxidoreductase subunit B	7.2.1.1
K00348	Na+-transporting NADH:ubiquinone oxidoreductase subunit C	7.2.1.1
K00349	Na+-transporting NADH:ubiquinone oxidoreductase subunit D	7.2.1.1
K00350	Na+-transporting NADH:ubiquinone oxidoreductase subunit E	7.2.1.1
K00351	Na+-transporting NADH:ubiquinone oxidoreductase subunit F	7.2.1.1
K00354	NADPH2 dehydrogenase	1.6.99.1
K00355	NAD(P)H dehydrogenase (quinone)	1.6.5.2
K00357	dihydropteridine reductase	1.5.1.34
K00359	NADPH:quinone reductase	1.6.5.5
K00360	assimilatory nitrate reductase electron transfer subunit	1.7.99.-
K00362	nitrite reductase (NADH) large subunit	1.7.1.15
K00363	nitrite reductase (NADH) small subunit	1.7.1.15
K00364	GMP reductase	1.7.1.7
K00365	urate oxidase	1.7.3.3
K00366	ferredoxin-nitrite reductase	1.7.7.1
K00367	ferredoxin-nitrate reductase	1.7.7.2
K00368	nitrite reductase (NO-forming)	1.7.2.1
K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit	1.7.5.1 1.7.99.-
K00371	nitrate reductase / nitrite oxidoreductase, beta subunit	1.7.5.1 1.7.99.-
K00372	assimilatory nitrate reductase catalytic subunit	1.7.99.-
K00373	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00374	nitrate reductase gamma subunit	1.7.5.1 1.7.99.-
K00375	GntR family transcriptional regulator / MocR family aminotransferase
K00376	nitrous-oxide reductase	1.7.2.4
K00380	sulfite reductase (NADPH) flavoprotein alpha-component	1.8.1.2
K00381	sulfite reductase (NADPH) hemoprotein beta-component	1.8.1.2
K00382	dihydrolipoamide dehydrogenase	1.8.1.4
K00383	glutathione reductase (NADPH)	1.8.1.7
K00384	thioredoxin reductase (NADPH)	1.8.1.9
K00385	anaerobic sulfite reductase subunit C
K00386	sulfite dehydrogenase (cytochrome) subunit B	1.8.2.1
K00387	sulfite oxidase	1.8.3.1
K00389	putative membrane protein
K00390	phosphoadenosine phosphosulfate reductase	1.8.4.8 1.8.4.10
K00392	sulfite reductase (ferredoxin)	1.8.7.1
K00394	adenylylsulfate reductase, subunit A	1.8.99.2
K00395	adenylylsulfate reductase, subunit B	1.8.99.2
K00399	methyl-coenzyme M reductase alpha subunit	2.8.4.1
K00400	methyl coenzyme M reductase system, component A2
K00401	methyl-coenzyme M reductase beta subunit	2.8.4.1
K00402	methyl-coenzyme M reductase gamma subunit	2.8.4.1
K00404	cytochrome c oxidase cbb3-type subunit I	7.1.1.9
K00405	cytochrome c oxidase cbb3-type subunit II
K00406	cytochrome c oxidase cbb3-type subunit III
K00407	cytochrome c oxidase cbb3-type subunit IV
K00408	wingless-type MMTV integration site family, member 4
K00410	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
K00411	ubiquinol-cytochrome c reductase iron-sulfur subunit	7.1.1.8
K00412	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00414	ubiquinol-cytochrome c reductase core subunit 1
K00415	ubiquinol-cytochrome c reductase core subunit 2
K00416	ubiquinol-cytochrome c reductase subunit 6
K00417	ubiquinol-cytochrome c reductase subunit 7
K00418	ubiquinol-cytochrome c reductase subunit 8
K00419	ubiquinol-cytochrome c reductase subunit 9
K00420	ubiquinol-cytochrome c reductase subunit 10
K00421	laccase	1.10.3.2
K00422	polyphenol oxidase	1.10.3.1
K00423	L-ascorbate oxidase	1.10.3.3
K00424	cytochrome bd-I ubiquinol oxidase subunit X	7.1.1.7
K00425	cytochrome bd ubiquinol oxidase subunit I	7.1.1.7
K00426	cytochrome bd ubiquinol oxidase subunit II	7.1.1.7
K00427	L-lactate permease
K00428	cytochrome c peroxidase	1.11.1.5
K00430	peroxidase	1.11.1.7
K00431	thyroid peroxidase	1.11.1.8
K00432	glutathione peroxidase	1.11.1.9
K00433	non-heme chloroperoxidase	1.11.1.10
K00434	L-ascorbate peroxidase	1.11.1.11
K00435	hydrogen peroxide-dependent heme synthase	1.3.98.5
K00436	NAD-reducing hydrogenase large subunit	1.12.1.2
K00437	[NiFe] hydrogenase large subunit	1.12.2.1
K00440	coenzyme F420 hydrogenase subunit alpha	1.12.98.1
K00441	coenzyme F420 hydrogenase subunit beta	1.12.98.1
K00442	coenzyme F420 hydrogenase subunit delta
K00443	coenzyme F420 hydrogenase subunit gamma	1.12.98.1
K00444	wingless-type MMTV integration site family, member 5
K00445	wingless-type MMTV integration site family, member 6
K00446	catechol 2,3-dioxygenase	1.13.11.2
K00448	protocatechuate 3,4-dioxygenase, alpha subunit	1.13.11.3
K00449	protocatechuate 3,4-dioxygenase, beta subunit	1.13.11.3
K00450	gentisate 1,2-dioxygenase	1.13.11.4
K00451	homogentisate 1,2-dioxygenase	1.13.11.5
K00452	3-hydroxyanthranilate 3,4-dioxygenase	1.13.11.6
K00453	tryptophan 2,3-dioxygenase	1.13.11.11
K00454	lipoxygenase	1.13.11.12
K00455	3,4-dihydroxyphenylacetate 2,3-dioxygenase	1.13.11.15
K00456	cysteine dioxygenase	1.13.11.20
K00457	4-hydroxyphenylpyruvate dioxygenase	1.13.11.27
K00458	arachidonate 12-lipoxygenase	1.13.11.31
K00459	nitronate monooxygenase	1.13.12.16
K00460	arachidonate 15-lipoxygenase	1.13.11.33
K00461	arachidonate 5-lipoxygenase	1.13.11.34
K00462	biphenyl-2,3-diol 1,2-dioxygenase	1.13.11.39
K00463	indoleamine 2,3-dioxygenase	1.13.11.52
K00464	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase	1.13.11.75
K00465	carotenoid 9,10(9',10')-cleavage dioxygenase 1	1.13.11.-
K00466	tryptophan 2-monooxygenase	1.13.12.3
K00467	lactate 2-monooxygenase	1.13.12.4
K00468	lysine 2-monooxygenase	1.13.12.2
K00469	inositol oxygenase	1.13.99.1
K00471	gamma-butyrobetaine dioxygenase	1.14.11.1
K00472	prolyl 4-hydroxylase	1.14.11.2
K00473	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	1.14.11.4
K00474	trimethyllysine dioxygenase	1.14.11.8
K00475	naringenin 3-dioxygenase	1.14.11.9
K00476	aspartate beta-hydroxylase	1.14.11.16
K00477	phytanoyl-CoA hydroxylase	1.14.11.18
K00478	[histone H3]-dimethyl-L-lysine9 demethylase	1.14.11.65
K00479	glycine betaine catabolism A
K00480	salicylate hydroxylase	1.14.13.1
K00481	p-hydroxybenzoate 3-monooxygenase	1.14.13.2
K00483	4-hydroxyphenylacetate 3-monooxygenase	1.14.14.9
K00484	flavin reductase (NADH)	1.5.1.36
K00485	dimethylaniline monooxygenase (N-oxide forming)	1.14.13.8
K00486	kynurenine 3-monooxygenase	1.14.13.9
K00487	trans-cinnamate 4-monooxygenase	1.14.14.91
K00488	cholestanetriol 26-monooxygenase	1.14.15.15
K00489	cholesterol 7alpha-monooxygenase	1.14.14.23
K00490	cytochrome P450 family 4 subfamily F	1.14.14.1
K00491	nitric-oxide synthase, bacterial	1.14.14.47
K00492	1,3,7-trimethyluric acid 5-monooxygenase	1.14.13.212
K00493	xanthocillin biosynthesis cytochrome P450 monooxygenase	1.14.-.-
K00494	alkanal monooxygenase alpha chain	1.14.14.3
K00495	phenylacetaldehyde oxime monooxygenase	1.14.14.44
K00496	alkane 1-monooxygenase	1.14.15.3
K00497	steroid 11beta-monooxygenase	1.14.15.4
K00498	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6
